Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),UGS dune,EQS dune,Static,Live,Dune Links,Symbol,EQSJSON
Ronin Network,Blockchains (L1),19.76231383028733,54.890713861302096,44.230769230769226,75.52,,Steady Growth,Fairly Valued,BBB,,,,,,,"{""name"": ""Ronin Network"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 19.76231383028733}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Rootstock,Blockchains (L2),0.0,,,,,,,,,,,,,,
Router Protocol,Bridges,0.0,22.5,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Rubic,Infrastructure,0.0,31.52698495070057,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
SKALE,Blockchains (L1),0.0,34.01515151515152,45.0,85.98,,Slow Growth,Fairly Valued,A,,,,,,,
SPACE ID,Lending,0.0,,,69.99,,,,BB,,,,,,,
SPACE ID,Infrastructure,0.0,71.54482355993773,55.0,69.99,,Strong Growth,Fairly Valued,BB,,,,,,,
SPOT Protocol (ex Ampleforth),Stablecoin issuers,0.0,31.428571428571423,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
SPX6900,,,,,70.25,,,,BB,,,,,,,
STASIS EURO,,,,,83.57,,,,A,,,,,,,
STEPN,Gaming,0.0,,,88.08,,,,AA,,,,,,,
STON.fi,Exchanges (DEX),0.0,32.98850574712644,,,,Slow Growth,,,,,,,,,
SXP,,,,,90.23,,,,AA,,,,,,,
SXP,Prediction markets,0.0,42.1875,80.44444444444446,90.23,,Slow Growth,Undervalued,AA,,,,,,,
Safe,Infrastructure,0.0,57.03976388168137,50.0,69.52,,Steady Growth,Fairly Valued,BB,,,,,,,
SafePal,,,,,91.11,,,,AA,,,,,,,
Sakai Vault,Derivative exchanges,0.0,49.493506493506494,55.0,,,Steady Growth,Fairly Valued,,,,,,,,
Sanctum,Liquid staking,0.0,39.41176470588236,,,,Slow Growth,,,,,,,,,
Sanko,Blockchains (L3),0.0,,,,,,,,,,,,,,
Saros Finance,,,,,75.98,,,,BBB,,,,,,,
SatLayer,Liquid staking,0.0,,,,,,,,,,,,,,
Satori Finance,Derivative exchanges,0.0,,,,,,,,,,,,,,
Save,Lending,0.0,20.526315789473685,,,,Stagnant/Declining,,,,,,,,,
Scallop,Lending,0.0,55.0,,,,Steady Growth,,,,,,,,,
Scroll,Blockchains (L2),0.0,65.94895087490904,,,,Strong Growth,,,,,,,,,
Seamless Protocol,Lending,37.87502872258241,62.473806042885,42.767857142857146,,,Steady Growth,Fairly Valued,,,,,,,,
Secret Network,Blockchains (L1),0.0,28.181818181818183,,,,Slow Growth,,,,,,,,,
Sei Protocol,Blockchains (L1),0.0,56.13636363636363,,90.59,,Steady Growth,,AA,,,,,,,
Sellix,Infrastructure,0.0,,,,,,,,,,,,,,
SendingMe,Social,0.0,,,,,,,,,,,,,,
Seraph,Gaming,0.0,79.52069716775598,55.0,,,Strong Growth,Fairly Valued,,,,,,,,
Shadow,Exchanges (DEX),0.0,72.51279199110122,50.0,,,Strong Growth,Fairly Valued,,,,,,,,
Shape,Blockchains (L2),0.0,55.88559814169572,,,,Steady Growth,,,,,,,,,
ShapeShift,Exchanges (DEX),0.0,61.21245828698554,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Shiba Swap,,,,,92.98,,,,AA,,,,,,,
Shoebill Finance,Lending,20.95127825728343,56.97368421052632,,,,Steady Growth,,,,,,,,,
Shrapnel,Gaming,0.0,57.04248366013072,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Shuffle,Prediction markets,0.0,80.83333333333334,45.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
Siacoin,,,,,73.82,,,,BBB,,,,,,,
SideShift,Infrastructure,0.0,15.204981837052411,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Silo Finance,Lending,43.02124926877824,45.29605263157895,39.00000000000001,,,Steady Growth,Overvalued,,,,,,,,
SingSing,Social,0.0,,,,,,,,,,,,,,
Skip Protocol,Infrastructure,0.0,,,,,,,,,,,,,,
Sky (formerly MakerDAO),Lending,77.66717859436147,63.81696428571428,45.0,91.99,,Steady Growth,Fairly Valued,AA,,,,,,,
Sky (formerly MakerDAO),Lending,,,,91.99,,,,AA,,,,,,,
Slime Revolution,Gaming,0.0,,,,,,,,,,,,,,
Slingshot,Exchanges (DEX),0.0,,,,,,,,,,,,,,
SmarDex,Exchanges (DEX),0.0,46.63403781979978,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Snek,,,,,61.48,,,,B,,,,,,,
Socket,Infrastructure,0.0,,,,,,,,,,,,,,
Sofamon,Social,0.0,,,,,,,,,,,,,,
Solana,Blockchains (L1),36.12038312840085,96.22273151684917,79.43181818181817,91.78,,Exceptional Growth,Undervalued,AA,,,,,,,"{""name"": ""Solana"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 36.12038312840085}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Solana Swap,,,,,74.1,,,,BBB,,,,,,,
Solayer,Liquid staking,0.0,100.0,,81.15,,Exceptional Growth,,A,,,,,,,
SolidLizard,Exchanges (DEX),4.575468576928085,20.327636768126204,32.93560606060606,,,Stagnant/Declining,Overvalued,,,,,,,,
Sologenic,Exchanges (DEX),0.0,66.63793103448276,,,,Strong Growth,,,,,,,,,
Solv Protocol,Derivative exchanges,0.0,86.00297485765468,65.09453781512606,,,Exceptional Growth,Fairly Valued,,,,,,,,
Soneium,Blockchains (L2),0.0,93.61207897793264,,,,Exceptional Growth,,,,,,,,,
Sonic Labs (prev. Fantom),Blockchains (L1),,60.70600967659791,84.6590909090909,89.26,,Steady Growth,Undervalued,AA,,,,,,,
Sonic Labs (prev. Fantom),Blockchains (L1),21.674435342567936,32.89152024446142,36.875,89.26,,Slow Growth,Overvalued,AA,,,,,,,
Sonic Labs (prev. Fantom),,,,,89.26,,,,AA,,,,,,,
Sophon,Blockchains (L2),0.0,,,,,,,,,,,,,,
Sorare,Gaming,0.0,,,,,,,,,,,,,,
Sound.xyz,NFT marketplaces,,20.0,,,,Stagnant/Declining,,,,,,,,,
Spacebar,Gaming,0.0,,,,,,,,,,,,,,
Spark Protocol,Lending,0.0,45.13157894736841,,,,Steady Growth,,,,,,,,,
Spectra,Asset management,0.0,34.39882697947213,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
Spin,Derivative exchanges,0.0,,,,,,,,,,,,,,
SpookySwap,Exchanges (DEX),20.87234771202789,48.97434965618364,40.45454545454545,,,Steady Growth,Fairly Valued,,,,,,,,
Squid,Infrastructure,0.0,,,,,,,,,,,,,,
StaFi,Liquid staking,0.0,19.352941176470587,,,,Stagnant/Declining,,,,,,,,,
Stabble,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Stability,Asset management,0.0,31.21212121212121,,,,Slow Growth,,,,,,,,,
Stacks,Blockchains (L2),0.0,90.3846153846154,,81.23,,Exceptional Growth,,A,,,,,,,
Stader ETHx,,,,,64.22,,,,BB,,,,,,,"{""name"": ""Stader ETHx"", ""sector"": ""Liquid staking"", ""scores"": {""earnings_quality"": 39.25070817974617}, ""peers"": [{""name"": ""Jito Labs"", ""scores"": {""earnings_quality"": 40.57981264730388}}, {""name"": ""Lido DAO"", ""scores"": {""earnings_quality"": 62.60100053261692}}, {""name"": ""StakeWise"", ""scores"": {""earnings_quality"": 31.52352037258972}}, {""name"": ""Allstake"", ""scores"": {""earnings_quality"": 0.0}}], ""sector_averages"": {""earnings_quality"": 4.83, ""count"": 36}}"
Stader ETHx,Liquid staking,39.25070817974617,44.74264705882353,11.250000000000002,64.22,,Slow Growth,Overvalued,BB,,,,,,,"{""name"": ""Stader ETHx"", ""sector"": ""Liquid staking"", ""scores"": {""earnings_quality"": 39.25070817974617}, ""peers"": [{""name"": ""Jito Labs"", ""scores"": {""earnings_quality"": 40.57981264730388}}, {""name"": ""Lido DAO"", ""scores"": {""earnings_quality"": 62.60100053261692}}, {""name"": ""StakeWise"", ""scores"": {""earnings_quality"": 31.52352037258972}}, {""name"": ""Allstake"", ""scores"": {""earnings_quality"": 0.0}}], ""sector_averages"": {""earnings_quality"": 4.83, ""count"": 36}}"
Staika,,,,,86.75,,,,AA,,,,,,,
Stake DAO,Asset management,0.0,47.4266862170088,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Stake.com,Prediction markets,0.0,,,,,,,,,,,,,,
StakeStone,Liquid staking,0.0,62.5,,,,Steady Growth,,,,,,,,,
StakeWise,Liquid staking,31.52352037258972,27.604166666666664,72.65625,,,Slow Growth,Undervalued,,,,,,,,
Star Atlas,Gaming,0.0,67.5,,,,Strong Growth,,,,,,,,,
Starbase,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Stargate,Bridges,36.96771721829992,53.22646103896104,33.90625,,,Steady Growth,Overvalued,,,,,,,,
StarkGate,Bridges,0.0,,,,,,,,,,,,,,
StarkNet,Blockchains (L2),0.0,74.82779415706244,22.5,85.12,,Strong Growth,Overvalued,A,,,,,,,
StarryNift,Gaming,0.0,81.2636165577342,55.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
Stellar,Blockchains (L1),0.0,75.75757575757575,38.05288461538461,86.48,,Strong Growth,Overvalued,A,,,,,,,
Storj,Infrastructure,0.0,77.19252724442137,55.0,87.44,,Strong Growth,Fairly Valued,AA,,,,,,,
Story Protocol,,,,,88.12,,,,AA,,,,,,,
Stride,Liquid staking,0.0,33.529411764705884,60.0,,,Slow Growth,Fairly Valued,,,,,,,,
Stryke,Derivative exchanges,0.0,36.00371057513915,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
Subsocial,Blockchains (L2),0.0,14.867902132710494,,,,Stagnant/Declining,,,,,,,,,
Succinct,Infrastructure,0.0,,,,,,,,,,,,,,
Sudoswap,NFT marketplaces,5.512477450205861,35.833333333333336,35.0,,,Slow Growth,Overvalued,,,,,,,,
Sui,Blockchains (L1),0.0,87.87878787878788,40.0,88.49,,Exceptional Growth,Fairly Valued,AA,,,,,,,
Suilend,Lending,0.0,,,,,,,,,,,,,,
Sun Swap,Exchanges (DEX),0.0,,,,,,,,,,,,,,
SunSwap,,,,,81.0,,,,A,,,,,,,
SunSwap,Exchanges (DEX),0.0,87.20800889877643,55.0,81.0,,Exceptional Growth,Fairly Valued,A,,,,,,,
Super Champs,Gaming,0.0,,,,,,,,,,,,,,
SuperSwap,Exchanges (DEX),0.0,,,,,,,,,,,,,,
SuperVerse,,,,,82.71,,,,A,,,,,,,
SuperVerse DAO,,,,,75.46,,,,BBB,,,,,,,
Superform,Asset management,0.0,,,,,,,,,,,,,,
Superposition,Lending,0.0,,,,,,,,,,,,,,
Superseed,Blockchains (L2),0.0,46.91347270615563,,,,Steady Growth,,,,,,,,,
Superstate,Asset management,0.0,,,,,,,,,,,,,,
Sushiswap,Exchanges (DEX),47.83216668659891,88.87737216435771,49.53125000000001,85.11,,Exceptional Growth,Fairly Valued,A,,,,,,,"{""name"": ""Sushiswap"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 47.83216668659891}, ""peers"": [{""name"": ""Aerodrome Finance"", ""scores"": {""earnings_quality"": 60.788622351381406}}, {""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""Ethena"", ""scores"": {""earnings_quality"": 57.15610750876476}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}"
SwapX,Exchanges (DEX),0.0,49.2035595105673,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Swarm,Infrastructure,0.0,41.41417698371513,49.642857142857146,,,Slow Growth,Fairly Valued,,,,,,,,
Sweatcoin,Social,0.0,29.629629629629623,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
Swell,Liquid staking,0.0,38.36397058823529,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
Swipe,,,,,89.96,,,,AA,,,,,,,
SwissBorg,,,,,70.1,,,,BB,,,,,,,
Switchboard,Infrastructure,0.0,,,,,,,,,,,,,,
Symbiosis,Exchanges (DEX),0.0,56.37819799777531,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Symbiotic,Liquid staking,0.0,80.0,,,,Exceptional Growth,,,,,,,,,
SynFutures,Derivative exchanges,44.47377406233293,81.21869202226347,72.44047619047619,,,Exceptional Growth,Undervalued,,,,,,,,
Synapse,Bridges,23.61587787204373,37.82771915584416,62.43750000000001,,,Slow Growth,Fairly Valued,,,,,,,,
SyncSwap,Exchanges (DEX),19.91686098163186,43.06818181818181,,,,Slow Growth,,,,,,,,,
Synonym Finance,Lending,0.0,18.971734892787524,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Synthetix,Derivative exchanges,30.536112044822108,80.07145256221611,49.49404761904763,83.71,,Exceptional Growth,Fairly Valued,A,,,,,,,"{""name"": ""Synthetix"", ""sector"": ""Derivative exchanges"", ""scores"": {""earnings_quality"": 30.536112044822108}, ""peers"": [{""name"": ""GMX"", ""scores"": {""earnings_quality"": 50.319127872574335}}, {""name"": ""Pendle"", ""scores"": {""earnings_quality"": 44.20295270085844}}, {""name"": ""Hegic"", ""scores"": {""earnings_quality"": 54.79070870679547}}, {""name"": ""SynFutures"", ""scores"": {""earnings_quality"": 44.47377406233293}}], ""sector_averages"": {""earnings_quality"": 8.13, ""count"": 63}}"
Synthswap,Exchanges (DEX),0.0,32.35669262143122,55.0,,,Slow Growth,Fairly Valued,,,,,,,,
THORChain,Exchanges (DEX),0.0,98.85057471264368,55.0,89.75,,Exceptional Growth,Fairly Valued,AA,,,,,,,
TRON,Blockchains (L1),89.21328539488609,88.24044011544011,93.07692307692308,87.49,,Exceptional Growth,Undervalued,AA,,,,,,,"{""name"": ""TRON"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 89.21328539488609}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}"
Taiko,Blockchains (L2),0.0,58.54037267080746,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
Talent Protocol,Social,0.0,59.16666666666666,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Talis Protocol,NFT marketplaces,0.0,21.11111111111111,,,,Stagnant/Declining,,,,,,,,,
TapiocaDAO,Stablecoin issuers,0.0,26.666666666666664,52.0,,,Slow Growth,Fairly Valued,,,,,,,,
Tapos,Gaming,0.0,,,,,,,,,,,,,,
Telcoin,,,,,85.95,,,,A,,,,,,,
Term Finance,Lending,0.0,0.0,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
Term Structure,Blockchains (L2),0.0,,,,,,,,,,,,,,
Terra Classic,,,,,50.49,,,,CC,,,,,,,
Terra Classic,Blockchains (L1),0.0,34.2293771043771,29.375,50.49,,Slow Growth,Overvalued,CC,,,,,,,
Tether,Stablecoin issuers,97.6930345904363,,,83.15,,,,A,,,,,,,
Tether Gold,,,,,85.1,,,,A,,,,,,,
Tevi,Social,0.0,,,,,,,,,,,,,,
Tezos,Blockchains (L1),0.0,38.78787878787879,28.740835777126097,90.36,,Slow Growth,Overvalued,AA,,,,,,,
Thala,Exchanges (DEX),0.0,45.08620689655172,,,,Steady Growth,,,,,,,,,
Thales,Derivative exchanges,5.54738572289759,57.49369242210991,34.673611111111114,,,Steady Growth,Overvalued,,,,,,,,
The Arena,Social,0.0,,,,,,,,,,,,,,
The Graph,Infrastructure,27.46709487715917,66.66858180739862,47.67857142857143,,,Strong Growth,Fairly Valued,,,,,,,,
The Lost Glitches,Gaming,0.0,,,,,,,,,,,,,,
The Open Network,,,,,94.7,,,,AAA,,,,,,,
The Sandbox,,,,,93.89,,,,AA,,,,,,,
The Standard,Lending,0.0,36.315789473684205,,,,Slow Growth,,,,,,,,,
Theta Fuel,,,,,73.68,,,,BBB,,,,,,,
Theta Network,Asset management,0.0,45.625,,93.24,,Steady Growth,,AA,,,,,,,
Thetanuts,Asset management,0.0,45.625,,,,Steady Growth,,,,,,,,,
Thetis Market,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Threshold Network,,,,,88.83,,,,AA,,,,,,,
Thruster,Exchanges (DEX),20.190706320205766,45.25542901203357,64.78896103896103,,,Steady Growth,Fairly Valued,,,,,,,,
Time.fun,Social,0.0,,,,,,,,,,,,,,
Tokemak,Asset management,37.32349428436831,60.27126099706746,54.29017857142858,,,Steady Growth,Fairly Valued,,,,,,,,
Tokenlon,Exchanges (DEX),62.00461353030645,41.16273974449726,62.05681818181819,,,Slow Growth,Fairly Valued,,,,,,,,
Tornado Cash,Infrastructure,40.6421287830892,54.8802728148862,72.1875,,,Steady Growth,Undervalued,,,,,,,,
Toshi,,,,,69.36,,,,BB,,,,,,,
Toucan Protocol,Infrastructure,0.0,32.22222222222222,,,,Slow Growth,,,,,,,,,
Trojan,Infrastructure,0.0,,,,,,,,,,,,,,
TruFin,Liquid staking,0.0,,,,,,,,,,,,,,
TrueFi,Lending,0.0,43.94554093567252,18.142857142857142,,,Slow Growth,Overvalued,,,,,,,,
TrueMarkets,Prediction markets,0.0,,,,,,,,,,,,,,
TrueUSD,Stablecoin issuers,0.0,84.52380952380952,55.0,89.43,,Exceptional Growth,Fairly Valued,AA,,,,,,,
Trust Wallet,,,,,91.66,,,,AA,,,,,,,
Turbo,Exchanges (DEX),0.0,53.706896551724135,,76.63,,Steady Growth,,BBB,,,,,,,
Turbos Finance,Exchanges (DEX),0.0,53.706896551724135,,,,Steady Growth,,,,,,,,,
Typus Finance,Asset management,0.0,,,,,,,,,,,,,,
ULTIMA,,,,,78.2,,,,BBB,,,,,,,
UMA,Infrastructure,0.0,67.77666061235081,52.5,,,Strong Growth,Fairly Valued,,,,,,,,
USDD (Decentralized USD),,,,,81.88,,,,A,,,,,,,
UWON Coin,ERC20 Tokens,0.0,0.0,,,,Stagnant/Declining,,,,,,,,,
UXLINK,Social,0.0,100.0,55.0,84.53,,Exceptional Growth,Fairly Valued,A,,,,,,,
UXLINK,Blockchains (L2),,85.55942702284166,,84.53,,Exceptional Growth,,A,,,,,,,
UXUY,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Ubeswap,Exchanges (DEX),0.0,36.26251390433816,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
UniDex,Derivative exchanges,0.0,28.181818181818183,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
Unipilot,Asset management,0.0,42.36391129032258,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
Unique Network,Blockchains (L2),0.0,30.869452846804755,,,,Slow Growth,,,,,,,,,
Uniswap,Exchanges (DEX),0.0,98.44734890619208,59.54101562500001,94.28,,Exceptional Growth,Fairly Valued,AAA,,,,,,,
Uniswap,Blockchains (L2),,77.58420441347272,,94.28,,Strong Growth,,AAA,,,,,,,
Uniswap Labs,Exchanges (DEX),53.83258939454786,90.9090909090909,,,,Exceptional Growth,,,,,,,,,
Universal,Infrastructure,0.0,,,,,,,,,,,,,,
Unus Sed Leo,,,,,85.62,,,,A,,,,,,,
Usual,Stablecoin issuers,22.917172470675563,84.4047619047619,93.60000000000002,,,Exceptional Growth,Undervalued,,,,,,,,
VVS Finance,,,,,68.45,,,,BB,,,,,,,
Valeria Games,Gaming,0.0,,,,,,,,,,,,,,
Vana,Blockchains (L1),0.0,,,85.34,,,,A,,,,,,,
Vaultka,Derivative exchanges,0.0,33.962894248608535,50.0,,,Slow Growth,Fairly Valued,,,,,,,,
VeThor Token,,,,,73.5,,,,BBB,,,,,,,
Veax,Exchanges (DEX),0.0,,,,,,,,,,,,,,
Vechain,Lending,62.67057362728197,99.07407407407408,70.5859375,92.59,,Exceptional Growth,Undervalued,AA,,,,,,,"{""name"": ""Vechain"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 62.67057362728197}, ""peers"": [{""name"": ""Aave"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Compound"", ""scores"": {""earnings_quality"": 32.43084976560476}}, {""name"": ""Maple Finance"", ""scores"": {""earnings_quality"": 54.32192715059285}}, {""name"": ""Venus USDT"", ""scores"": {""earnings_quality"": 58.729369995647765}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}"
Velodrome,Exchanges (DEX),50.95855686758603,71.53864668655409,71.14935064935065,,,Strong Growth,Undervalued,,,,,,,,
Venice,Infrastructure,0.0,60.16379086663207,55.0,,,Steady Growth,Fairly Valued,,,,,,,,
Venom Bridge,,,,,74.11,,,,BBB,,,,,,,
Venus USDC,,,,,73.26,,,,BBB,,,,,,,
Venus USDT,,,,,68.62,,,,BB,,,,,,,"{""name"": ""Venus USDT"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 58.729369995647765}, ""peers"": [{""name"": ""Aave"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Compound"", ""scores"": {""earnings_quality"": 32.43084976560476}}, {""name"": ""Maple Finance"", ""scores"": {""earnings_quality"": 54.32192715059285}}, {""name"": ""Vechain"", ""scores"": {""earnings_quality"": 62.67057362728197}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}"
Venus USDT,Lending,58.729369995647765,86.17202729044836,84.21875,68.62,,Exceptional Growth,Undervalued,BB,,,,,,,"{""name"": ""Venus USDT"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 58.729369995647765}, ""peers"": [{""name"": ""Aave"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Compound"", ""scores"": {""earnings_quality"": 32.43084976560476}}, {""name"": ""Maple Finance"", ""scores"": {""earnings_quality"": 54.32192715059285}}, {""name"": ""Vechain"", ""scores"": {""earnings_quality"": 62.67057362728197}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}"
Vertex,Derivative exchanges,0.0,76.62141737572772,82.52083333333334,,,Strong Growth,Undervalued,,,,,,,,
Verus,,,,,58.24,,,,B,,,,,,,
Vesta Finance,Stablecoin issuers,0.0,43.660714285714285,32.85714285714286,,,Slow Growth,Overvalued,,,,,,,,
VibrantX,Asset management,0.0,,,,,,,,,,,,,,
Viction,Blockchains (L1),0.0,43.755411255411246,24.94261786600496,,,Slow Growth,Overvalued,,,,,,,,
Virtuals Protocol,Infrastructure,0.0,91.48936170212764,,80.9,,Exceptional Growth,,A,,,,,,,
Volmex,Derivative exchanges,,45.94827586206897,,,,Steady Growth,,,,,,,,,
Voltz,Derivative exchanges,0.0,45.94827586206897,,,,Steady Growth,,,,,,,,,
WAGMI (ex Popsicle Finance),Exchanges (DEX),0.0,54.51167964404896,45.0,,,Steady Growth,Fairly Valued,,,,,,,,
WELL3,Social,0.0,56.388888888888886,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
WETH,,,,,73.33,,,,BBB,,,,,,,
WINR Protocol,Prediction markets,0.0,55.0,,,,Steady Growth,,,,,,,,,
WOO Token,Exchanges (DEX),0.0,77.25509825732296,52.0,83.9,,Strong Growth,Fairly Valued,A,,,,,,,
WOO Token,,,,,83.9,,,,A,,,,,,,
Walrus,,,,,85.29,,,,A,,,,,,,
Wapal,NFT marketplaces,0.0,,,,,,,,,,,,,,
Wasabi,Derivative exchanges,0.0,,,,,,,,,,,,,,
Waves,,,,,74.12,,,,BBB,,,,,,,
White Whale,Exchanges (DEX),0.0,,,,,,,,,,,,,,
WhiteSwap,Exchanges (DEX),0.0,,,,,,,,,,,,,,
WigoSwap,Infrastructure,0.0,48.59756097560975,50.0,,,Steady Growth,Fairly Valued,,,,,,,,
Wild Forest,Gaming,0.0,,,,,,,,,,,,,,
Wombat Exchange,Exchanges (DEX),16.964873845336847,37.895894428152495,28.392045454545457,,,Slow Growth,Overvalued,,,,,,,,
World Mobile Token,,,,,81.97,,,,A,,,,,,,
World of Dypians,Gaming,0.0,,,,,,,,,,,,,,
Worldcoin,Blockchains (L2),0.0,89.51227887965693,47.5,85.19,,Exceptional Growth,Fairly Valued,A,,,,,,,
Wormhole,Infrastructure,0.0,,,88.52,,,,AA,,,,,,,
Would,,,,,60.7,,,,B,,,,,,,
Wrapped AVAX,,,,,79.08,,,,A,,,,,,,
Wrapped Bitcoin,,,,,85.77,,,,A,,,,,,,
Wrapped Solana,,,,,74.0,,,,BBB,,,,,,,
Wrapped TRON,,,,,72.26,,,,BBB,,,,,,,
X Layer,Blockchains (L2),0.0,,,,,,,,,,,,,,
X2Y2,NFT marketplaces,39.0952594610098,40.9375,64.62500000000001,,,Slow Growth,Fairly Valued,,,,,,,,
XAI,Blockchains (L3),4.112146204819793,85.00000000000001,52.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
XCAD Network,Social,0.0,40.27777777777776,45.0,,,Slow Growth,Fairly Valued,,,,,,,,
XDC Network,Blockchains (L1),0.0,42.5,,88.35,,Slow Growth,,AA,,,,,,,
XGamble,Prediction markets,0.0,,,,,,,,,,,,,,
XOXNO,NFT marketplaces,0.0,20.0,,,,Stagnant/Declining,,,,,,,,,
XPLA,Blockchains (L1),0.0,28.699494949494948,40.0,,,Slow Growth,Fairly Valued,,,,,,,,
XRP Ledger,Blockchains (L1),0.0,95.45454545454544,,94.25,,Exceptional Growth,,AAA,,,,,,,
XRP Ledger,,,,,94.25,,,,AAA,,,,,,,
XYO,,,,,82.93,,,,A,,,,,,,
XYO,Bridges,0.0,35.0,50.0,82.93,,Slow Growth,Fairly Valued,A,,,,,,,
YOLO Games,Gaming,0.0,39.7875816993464,52.0,,,Slow Growth,Fairly Valued,,,,,,,,
Yearn Finance,Asset management,0.0,96.2854349951124,55.0,70.16,,Exceptional Growth,Fairly Valued,BB,,,,,,,
Yield Guild Games,Gaming,0.0,79.79847494553377,50.99999999999999,,,Strong Growth,Fairly Valued,,,,,,,,
ZKEX,Exchanges (DEX),0.0,,,,,,,,,,,,,,
ZKFair,Blockchains (L2),0.0,52.11538461538461,,,,Steady Growth,,,,,,,,,
ZKNation,,,,,78.95,,,,BBB,,,,,,,
ZKNation,Lending,0.0,,,78.95,,,,BBB,,,,,,,
ZKX,Derivative exchanges,0.0,20.890538033395178,45.0,,,Stagnant/Declining,Fairly Valued,,,,,,,,
ZNS Connect Name Service,Infrastructure,0.0,,,,,,,,,,,,,,
Zcash,Blockchains (L1),0.0,62.95454545454546,88.1281017369727,87.68,,Steady Growth,Undervalued,AA,,,,,,,
Zeebu Protocol,,,,,83.39,,,,A,,,,,,,
Zeitgeist,Blockchains (L2),0.0,17.00908412145346,,,,Stagnant/Declining,,,,,,,,,
Zerion,Infrastructure,35.11925409569828,77.77777777777779,50.0,,,Strong Growth,Fairly Valued,,,,,,,,
ZeroLend,Lending,0.0,57.25563909774437,68.66666666666667,,,Steady Growth,Fairly Valued,,,,,,,,
